"Gender","Age.Group","Fit.Bound","LE"
"Total","80-84","lwr","8.52087867400791"
"Total","85-89","lwr","5.85252652607883"
"Total","90+","lwr","3.93160444785507"
"Total","<1","upr","80.8035409494415"
"Total","1-4","upr","80.0853177682278"
"Total","5-9","upr","76.1219332841705"
"Total","10-14","upr","71.1436157011298"
"Total","15-19","upr","66.1695096350451"
"Total","20-24","upr","61.2342170312968"
"Total","25-29","upr","56.3283659719538"
"Total","30-34","upr","51.4441875851609"
"Total","35-39","upr","46.5982438957038"
"Total","40-44","upr","41.820180448666"
"Total","45-49","upr","37.1121795663666"
"Total","50-54","upr","32.5202355264381"
"Total","55-59","upr","28.0574129481453"
"Total","60-64","upr","23.7391975205803"
"Total","65-69","upr","19.6402661094384"
"Total","70-74","upr","15.735957408009"
"Total","75-79","upr","12.03439406043"
"Total","80-84","upr","8.8199515328831"
"Total","85-89","upr","6.20284817488176"
"Total","90+","upr","4.3772401029206"
