"Gender","Age.Group","Fit.Bound","LE"
"Total","85-89","fit","6.84745822827619"
"Total","90+","fit","4.87090742247693"
"Total","<1","lwr","81.4164501775193"
"Total","1-4","lwr","80.7600801282433"
"Total","5-9","lwr","76.797946623703"
"Total","10-14","lwr","71.8201251491678"
"Total","15-19","lwr","66.8469574069454"
"Total","20-24","lwr","61.9147482983487"
"Total","25-29","lwr","57.0097549930198"
"Total","30-34","lwr","52.1253104483333"
"Total","35-39","lwr","47.2778697124451"
"Total","40-44","lwr","42.4978431300978"
"Total","45-49","lwr","37.789578391439"
"Total","50-54","lwr","33.188438970408"
"Total","55-59","lwr","28.700373436413"
"Total","60-64","lwr","24.3331772262742"
"Total","65-69","lwr","20.1727343369173"
"Total","70-74","lwr","16.3260212005849"
"Total","75-79","lwr","12.7104771261985"
"Total","80-84","lwr","9.4900633414366"
"Total","85-89","lwr","6.69258090552121"
"Total","90+","lwr","4.6785497861731"
"Total","<1","upr","82.1564936862617"
"Total","1-4","upr","81.4427785702288"
"Total","5-9","upr","77.4799177094423"
"Total","10-14","upr","72.5018996768993"
"Total","15-19","upr","67.5278377005468"
"Total","20-24","upr","62.5928464269394"
"Total","25-29","upr","57.6864280422074"
"Total","30-34","upr","52.8003143082726"
"Total","35-39","upr","47.9514510275968"
"Total","40-44","upr","43.1688772992384"
"Total","45-49","upr","38.4505746845257"
"Total","50-54","upr","33.8419998873161"
"Total","55-59","upr","29.3528336427586"
"Total","60-64","upr","24.9937750165985"
"Total","65-69","upr","20.8363720288429"
"Total","70-74","upr","16.8640116754392"
"Total","75-79","upr","13.0895475637738"
"Total","80-84","upr","9.76045979634185"
"Total","85-89","upr","7.00325342737824"
"Total","90+","upr","5.06326505878075"
