"Gender","Age.Group","Fit.Bound","LE"
"Total","85-89","fit","6.9966897505494"
"Total","90+","fit","5.02386671071547"
"Total","<1","lwr","80.6789475538853"
"Total","1-4","lwr","80.1033355510875"
"Total","5-9","lwr","76.1533311348947"
"Total","10-14","lwr","71.1873672322582"
"Total","15-19","lwr","66.2256678121984"
"Total","20-24","lwr","61.3137799649829"
"Total","25-29","lwr","56.4517388158813"
"Total","30-34","lwr","51.6000596783552"
"Total","35-39","lwr","46.7789291054269"
"Total","40-44","lwr","42.0070803036549"
"Total","45-49","lwr","37.2813455835187"
"Total","50-54","lwr","32.6828959937493"
"Total","55-59","lwr","28.1807348979575"
"Total","60-64","lwr","23.8180297873933"
"Total","65-69","lwr","19.6550000215171"
"Total","70-74","lwr","15.7874297040854"
"Total","75-79","lwr","12.2347844286691"
"Total","80-84","lwr","8.97055829136193"
"Total","85-89","lwr","6.25602786305718"
"Total","90+","lwr","4.26246549412414"
"Total","<1","upr","83.5686442362825"
"Total","1-4","upr","82.8194810515153"
"Total","5-9","upr","78.8515205864795"
"Total","10-14","upr","73.8664425704902"
"Total","15-19","upr","68.8904037062375"
"Total","20-24","upr","63.9331416605257"
"Total","25-29","upr","59.0122225682497"
"Total","30-34","upr","54.1166956130967"
"Total","35-39","upr","49.2456960249408"
"Total","40-44","upr","44.4321969496634"
"Total","45-49","upr","39.6601120209092"
"Total","50-54","upr","35.0189883306601"
"Total","55-59","upr","30.4961547754361"
"Total","60-64","upr","26.1007068461022"
"Total","65-69","upr","21.9138513125376"
"Total","70-74","upr","17.8079942127002"
"Total","75-79","upr","14.0507018104102"
"Total","80-84","upr","10.6664250587594"
"Total","85-89","upr","7.95334827260981"
"Total","90+","upr","6.01701576066829"
